"Domain","URL","Branch","Agency","Redirect","Participates in DAP?"
"inl.gov","https://www.inl.gov","executive","Department of Energy","No","No"
"insurekidsnow.gov","https://www.insurekidsnow.gov","executive","Department of Health And Human Services","No","Yes"
"integrity.gov","https://www.integrity.gov","executive","Office of Government Ethics","No","No"
"intelink.gov","http://www.intelink.gov","executive","Director of National Intelligence","No","No"
"intelligencecareers.gov","https://www.intelligencecareers.gov","executive","National Security Agency","No","No"
"invasivespecies.gov","http://invasivespecies.gov","executive","Department of the Interior","No","No"
"invasivespeciesinfo.gov","https://www.invasivespeciesinfo.gov","executive","Department of Agriculture","No","Yes"
"investor.gov","https://investor.gov","executive","Securities and Exchange Commission","No","No"
"ipac.gov","https://www.ipac.gov","executive","Department of the Treasury","No","No"
"ipcc-wg2.gov","http://ipcc-wg2.gov","executive","United Stated Global Change Research Program","No","No"
"ipp.gov","http://www.ipp.gov","executive","Department of the Treasury","No","No"
"iprcenter.gov","https://www.iprcenter.gov","executive","Department of Justice","No","No"
"irs.gov","https://www.irs.gov","executive","Department of the Treasury","No","Yes"
"irsvideos.gov","http://www.irsvideos.gov","executive","Department of the Treasury","No","No"
"ise.gov","http://www.ise.gov","executive","Director of National Intelligence","No","No"
"isotope.gov","https://isotope.gov","executive","Department of Energy","No","No"
"isotopes.gov","https://isotopes.gov","executive","Department of Energy","No","No"
"itap.gov","http://www.itap.gov","executive","Department of Agriculture","No","Yes"
"itdashboard.gov","http://itdashboard.gov","executive","Executive Office of the President","No","Yes"
"itis.gov","https://www.itis.gov","executive","Smithsonian Institution","No","Yes"
"its.gov","https://www.its.gov","executive","Department of the Treasury","No","No"
"jamesmadison.gov","http://www.jamesmadison.gov","executive","James Madison Memorial Fellowship Foundation","No","No"
"jccs.gov","http://www.jccs.gov","executive","Department of Defense","No","No"
"jem.gov","https://jem.gov","executive","Department of the Interior","No","No"
"jimmycarterlibrary.gov","http://jimmycarterlibrary.gov","executive","National Archives and Records Administration","No","Yes"
"jobcorps.gov","http://www.jobcorps.gov","executive","Department of Labor","No","No"
"justice.gov","https://www.justice.gov","executive","Department of Justice","No","Yes"
"justthinktwice.gov","https://www.justthinktwice.gov","executive","Department of Justice","No","No"
"juvenilecouncil.gov","http://juvenilecouncil.gov","executive","Department of Justice","No","Yes"
"jwod.gov","http://jwod.gov","executive","Comm for People Who Are Blind/Severly Disabled","No","No"
"klamathrestoration.gov","https://klamathrestoration.gov","executive","Department of the Interior","No","No"
"lacoast.gov","http://www.lacoast.gov","executive","Department of the Interior","No","No"
"landfire.gov","http://landfire.gov","executive","Department of the Interior","No","Yes"
"landimaging.gov","http://www.landimaging.gov","executive","Department of the Interior","No","Yes"
"lanl.gov","http://lanl.gov","executive","Department of Energy","No","No"
"latinofarmerclaims.gov","https://www.latinofarmerclaims.gov","executive","Department of Agriculture","No","No"
"lbl.gov","http://www.lbl.gov","executive","Department of Energy","No","No"
"lca.gov","https://lca.gov","executive","Department of the Interior","No","No"
"lcacommons.gov","https://www.lcacommons.gov","executive","Department of Agriculture","No","Yes"
"lcrmscp.gov","http://www.lcrmscp.gov","executive","Department of the Interior","No","No"
"learnatf.gov","https://www.learnatf.gov","executive","Department of Justice","No","No"
"learndoj.gov","https://www.learndoj.gov","executive","Department of Justice","No","No"
"lep.gov","https://www.lep.gov","executive","Department of Justice","No","Yes"
"letgirlslearn.gov","https://letgirlslearn.gov","executive","U.S. Agency for International Development","No","No"
"letsmove.gov","http://www.letsmove.gov","executive","Executive Office of the President","No","Yes"
"llnl.gov","https://www.llnl.gov","executive","Department of Energy","No","No"
"lmrcouncil.gov","https://lmrcouncil.gov","executive","Office of Personnel Management","No","Yes"
"lmvsci.gov","https://lmvsci.gov","executive","Department of the Interior","No","No"
"locatorplus.gov","http://locatorplus.gov","executive","Department of Health And Human Services","No","No"
"longtermcare.gov","http://longtermcare.gov","executive","Department of Health And Human Services","No","No"
"lps.gov","http://www.lps.gov","executive","National Security Agency","No","No"
"lsc.gov","http://lsc.gov","executive","Legal Services Corporation","No","No"
"macpac.gov","https://www.macpac.gov","executive","Medicaid and CHIP Payment and Access Commission","No","No"
"makinghomeaffordable.gov","http://www.makinghomeaffordable.gov","executive","Department of the Treasury","No","No"
"malwareinvestigator.gov","http://www.malwareinvestigator.gov","executive","Department of Justice","No","No"
"manufacturing.gov","https://www.manufacturing.gov","executive","Department of Commerce","No","Yes"
"marine.gov","http://www.marine.gov","executive","Department of the Interior","No","No"
"marinecadastre.gov","http://marinecadastre.gov","executive","Department of Commerce","No","Yes"
"max.gov","http://www.max.gov","executive","Executive Office of the President","No","No"
"mbda.gov","http://www.mbda.gov","executive","Department of Commerce","No","No"
"mcc.gov","https://mcc.gov","executive","Millennium Challenge Corporation","No","Yes"
"mda.gov","http://mda.gov","executive","Department of Transportation","No","No"
"medalofvalor.gov","https://www.medalofvalor.gov","executive","Department of Justice","No","No"
"medicaid.gov","https://www.medicaid.gov","executive","Department of Health And Human Services","No","No"
"medicalcountermeasures.gov","https://www.medicalcountermeasures.gov","executive","Department of Health And Human Services","No","Yes"
"medicalreservecorps.gov","http://www.medicalreservecorps.gov","executive","Department of Health And Human Services","No","No"
"medicare.gov","https://www.medicare.gov","executive","Department of Health And Human Services","No","No"
"medlineplus.gov","https://medlineplus.gov","executive","Department of Health And Human Services","No","Yes"
"medpac.gov","http://medpac.gov","executive","Medical Payment Advisory Commission","No","No"
"mentalhealth.gov","https://www.mentalhealth.gov","executive","Department of Health And Human Services","No","Yes"
"mgi.gov","https://www.mgi.gov","executive","Department of Commerce","No","Yes"
"mitigationcommission.gov","http://www.mitigationcommission.gov","executive","Department of the Interior","No","No"
"mmc.gov","https://www.mmc.gov","executive","Marine Mammal Commission","No","No"
"mojavedata.gov","https://mojavedata.gov","executive","Department of Defense","No","Yes"
"moneyfactory.gov","http://moneyfactory.gov","executive","Department of the Treasury","No","Yes"
"moneyfactorystore.gov","http://www.moneyfactorystore.gov","executive","Department of the Treasury","No","Yes"
"mrlc.gov","http://www.mrlc.gov","executive","Department of the Interior","No","Yes"
"msha.gov","https://www.msha.gov","executive","Department of Labor","No","No"
"mspb.gov","http://www.mspb.gov","executive","Merit Systems Protection Board","No","No"
"mtbs.gov","http://mtbs.gov","executive","Department of Agriculture","No","No"
"mycreditunion.gov","http://www.mycreditunion.gov","executive","National Credit Union Administration","No","No"
"myfdicinsurance.gov","https://myfdicinsurance.gov","executive","Federal Deposit Insurance Corporation","No","No"
"myira.gov","https://www.myira.gov","executive","Department of the Treasury","No","Yes"
"mymedicare.gov","https://www.mymedicare.gov","executive","Department of Health And Human Services","No","No"
"mymoney.gov","http://www.mymoney.gov","executive","Department of the Treasury","No","Yes"
"myra.gov","https://myra.gov","executive","Department of the Treasury","No","Yes"
"nafri.gov","http://nafri.gov","executive","Department of Agriculture","No","No"
"nagb.gov","https://nagb.gov","executive","Department of Education","No","Yes"
"nano.gov","http://www.nano.gov","executive","National Nanotechnology Coordination Office","No","No"
"nasa.gov","http://www.nasa.gov","executive","National Aeronautics and Space Administration","No","Yes"
"nationalgangcenter.gov","https://www.nationalgangcenter.gov","executive","Department of Justice","No","Yes"
"nationalhousing.gov","http://nationalhousing.gov","executive","Department of Housing And Urban Development","No","No"
"nationalhousinglocator.gov","http://nationalhousinglocator.gov","executive","Department of Housing And Urban Development","No","No"
"nationalmap.gov","http://nationalmap.gov","executive","Department of the Interior","No","Yes"
"nationalresourcedirectory.gov","http://nationalresourcedirectory.gov","executive","Department of Defense","No","No"
"nationalservice.gov","http://www.nationalservice.gov","executive","Corporation for National & Community Service","No","No"
"nationsreportcard.gov","http://nationsreportcard.gov","executive","Department of Education","No","Yes"
"nativeonestop.gov","https://www.nativeonestop.gov","executive","Department of the Interior","No","No"
"nbc.gov","https://www.nbc.gov","executive","Department of the Interior","No","No"
"nbrc.gov","http://www.nbrc.gov","executive","General Services Administration","No","Yes"
"nccrc.gov","http://www.nccrc.gov","executive","Department of Energy","No","No"
"nccs.gov","https://nccs.gov","executive","Department of Energy","No","No"
"ncd.gov","http://ncd.gov","executive","National Council on Disability","No","No"
"ncirc.gov","https://ncirc.gov","executive","Department of Justice","No","Yes"
"ncjrs.gov","https://www.ncjrs.gov","executive","Department of Justice","No","Yes"
"ncpc.gov","https://www.ncpc.gov","executive","National Capital Planning Commission","No","No"
"ncpw.gov","https://www.ncpw.gov","executive","Federal Trade Commission","No","Yes"
"ncrc.gov","https://www.ncrc.gov","executive","Department of Energy","No","No"
"ncsc.gov","https://www.ncsc.gov","executive","Director of National Intelligence","No","No"
"nctc.gov","https://www.nctc.gov","executive","Central Intelligence Agency","No","No"
"ncua.gov","https://www.ncua.gov","executive","National Credit Union Administration","No","No"
"neglecteddiseases.gov","https://www.neglecteddiseases.gov","executive","U.S. Agency for International Development","No","No"
"neh.gov","https://www.neh.gov","executive","National Endowment for the Humanities","No","No"
"nehrp.gov","http://nehrp.gov","executive","Department of Commerce","No","Yes"
"nel.gov","http://www.nel.gov","executive","Department of Agriculture","No","No"
"nemi.gov","http://www.nemi.gov","executive","Department of the Interior","No","No"
"nersc.gov","http://www.nersc.gov","executive","Department of Energy","No","No"
"nfpors.gov","https://nfpors.gov","executive","Department of the Interior","No","No"
"nga.gov","http://www.nga.gov","executive","National Gallery of Art","No","No"
"ngc.gov","http://www.ngc.gov","executive","Department of Health And Human Services","No","No"
"nhl.gov","http://nhl.gov","executive","Department of Housing And Urban Development","No","No"
"nhtsa.gov","http://www.nhtsa.gov","executive","Department of Transportation","No","Yes"
"nicic.gov","http://nicic.gov","executive","Department of Justice","No","Yes"
"nicsezcheckfbi.gov","http://www.nicsezcheckfbi.gov","executive","Department of Justice","No","Yes"
"niem.gov","https://www.niem.gov","executive","Department of Justice","No","Yes"
"nifc.gov","http://www.nifc.gov","executive","Department of the Interior","No","No"
"nigc.gov","http://www.nigc.gov","executive","National Indian Gaming Commission","No","No"
"nih.gov","https://www.nih.gov","executive","Department of Health And Human Services","No","Yes"
"nihseniorhealth.gov","https://nihseniorhealth.gov","executive","Department of Health And Human Services","No","Yes"
"nist.gov","https://www.nist.gov","executive","Department of Commerce","No","Yes"
"nitrd.gov","https://nitrd.gov","executive","Networking Information Technology Research and Development (NITRD)","No","No"
"nixonlibrary.gov","https://www.nixonlibrary.gov","executive","National Archives and Records Administration","No","Yes"
"nlrb.gov","https://www.nlrb.gov","executive","National Labor Relations Board","No","Yes"
"nls.gov","http://nls.gov","executive","Department of Housing And Urban Development","No","No"
"nmb.gov","http://www.nmb.gov","executive","National Mediation Board","No","No"
"nmsc.gov","http://www.nmsc.gov","executive","Department of Homeland Security","No","No"
"nnlm.gov","https://nnlm.gov","executive","Department of Health And Human Services","No","No"
"nnss.gov","http://nnss.gov","executive","National Nuclear Security Administration","No","No"
"noaa.gov","http://www.noaa.gov","executive","Department of Commerce","No","Yes"
"nolaenvironmental.gov","https://www.nolaenvironmental.gov","executive","Department of the Interior","No","No"
"nps.gov","https://www.nps.gov","executive","Department of the Interior","No","Yes"
"nrc.gov","http://www.nrc.gov","executive","Nuclear Regulatory Commission","No","Yes"
"nrd.gov","http://nrd.gov","executive","Department of Defense","No","No"
"nrel.gov","http://www.nrel.gov","executive","Department of Energy","No","No"
"nro.gov","http://nro.gov","executive","Department of Defense","No","Yes"
"nrojr.gov","http://nrojr.gov","executive","Department of Defense","No","Yes"
"nsa.gov","https://www.nsa.gov","executive","Department of Defense","No","No"
"nsep.gov","https://nsep.gov","executive","Department of Defense","No","No"
"nsf.gov","https://nsf.gov","executive","National Science Foundation","No","Yes"
"nsopw.gov","https://www.nsopw.gov","executive","Department of Justice","No","Yes"
"ntis.gov","https://www.ntis.gov","executive","Department of Commerce","No","Yes"
"ntrc.gov","http://www.ntrc.gov","executive","Department of Energy","No","No"
"ntsb.gov","http://www.ntsb.gov","executive","National Transportation Safety Board","No","No"
"nutrition.gov","http://www.nutrition.gov","executive","Department of Agriculture","No","Yes"
"nwbc.gov","https://www.nwbc.gov","executive","Small Business Administration","No","Yes"
"nwcg.gov","http://www.nwcg.gov","executive","Department of Agriculture","No","No"
"nwtrb.gov","http://nwtrb.gov","executive","Department of Energy","No","No"
"occ.gov","https://occ.gov","executive","Department of the Treasury","No","Yes"
"odni.gov","https://www.odni.gov","executive","Director of National Intelligence","No","No"
"oea.gov","http://oea.gov","executive","Department of Defense","No","Yes"
"ofcm.gov","http://www.ofcm.gov","executive","Department of Commerce","No","No"
"ofda.gov","https://www.ofda.gov","executive","U.S. Agency for International Development","No","No"
"oge.gov","https://oge.gov","executive","United States Office of Government Ethics","No","No"
"ojjdp.gov","https://www.ojjdp.gov","executive","Department of Justice","No","Yes"
"onhir.gov","http://onhir.gov","executive","Department of the Interior","No","No"
"onlinewbc.gov","http://onlinewbc.gov","executive","Small Business Administration","No","No"
"onrr.gov","http://onrr.gov","executive","Department of the Interior","No","No"
"opensource.gov","https://www.opensource.gov","executive","Central Intelligence Agency","No","No"
"opic.gov","https://www.opic.gov","executive","Overseas Private Investment Corporation","No","No"
"opm.gov","https://www.opm.gov","executive","Office of Personnel Management","No","Yes"
"orau.gov","http://www.orau.gov","executive","Department of Energy","No","No"
"organdonor.gov","http://www.organdonor.gov","executive","Department of Health And Human Services","No","Yes"
"ornl.gov","https://ornl.gov","executive","Department of Energy","No","No"
"osac.gov","https://www.osac.gov","executive","Department of State","No","Yes"
"osc.gov","https://osc.gov","executive","U. S. Office of Special Counsel","No","No"
"osha.gov","https://osha.gov","executive","Department of Labor","No","Yes"
"oshrc.gov","http://oshrc.gov","executive","Occupational Safety & Health Review Commission","No","No"
"osmre.gov","http://www.osmre.gov","executive","Department of the Interior","No","Yes"
"osti.gov","https://osti.gov","executive","Department of Energy","No","No"
"ots.gov","http://ots.gov","executive","Department of the Treasury","No","Yes"
"ourdocuments.gov","https://ourdocuments.gov","executive","National Archives and Records Administration","No","Yes"
"ovc.gov","http://ovc.gov","executive","Department of Justice","No","Yes"
"ovcttac.gov","https://www.ovcttac.gov","executive","Department of Justice","No","Yes"
"papahanaumokuakea.gov","http://www.papahanaumokuakea.gov","executive","Department of Commerce","No","Yes"
"partner4solutions.gov","https://www.partner4solutions.gov","executive","General Services Administration","No","Yes"
"patriotbonds.gov","http://patriotbonds.gov","executive","Department of the Treasury","No","Yes"
"pay.gov","https://pay.gov","executive","Department of the Treasury","No","No"
"paymentaccuracy.gov","http://paymentaccuracy.gov","executive","Executive Office of the President","No","No"
"pbgc.gov","http://pbgc.gov","executive","Pension Benefit Guaranty Corporation","No","Yes"
"pcah.gov","http://pcah.gov","executive","National Endowment for the Humanities","No","No"
"pclob.gov","https://pclob.gov","executive","General Services Administration","No","Yes"
"peacecorps.gov","https://www.peacecorps.gov","executive","U. S. Peace Corps","No","Yes"
"performance.gov","https://www.performance.gov","executive","General Services Administration","No","Yes"
"phe.gov","http://www.phe.gov","executive","Department of Health And Human Services","No","No"
"pic.gov","http://pic.gov","executive","General Services Administration","No","Yes"
"plainlanguage.gov","http://www.plainlanguage.gov","executive","Department of Transportation","No","Yes"
"pmf.gov","https://pmf.gov","executive","Office of Personnel Management","No","Yes"
"pmi.gov","https://www.pmi.gov","executive","U.S. Agency for International Development","No","Yes"
"pnl.gov","http://pnl.gov","executive","Department of Energy","No","No"
"pnnl.gov","http://pnnl.gov","executive","Department of Energy","No","No"
"poolsafely.gov","http://www.poolsafely.gov","executive","Consumer Product Safety Commission","No","Yes"
"ppirs.gov","https://www.ppirs.gov","executive","General Services Administration","No","Yes"
"pppl.gov","http://www.pppl.gov","executive","National Science Foundation","No","Yes"
"prc.gov","http://www.prc.gov","executive","Postal Rate Commission","No","No"
"preserveamerica.gov","http://preserveamerica.gov","executive","Advisory Council on Historic Preservation","No","No"
"presidentialinnovationfellows.gov","https://presidentialinnovationfellows.gov","executive","General Services Administration","No","Yes"
"presidentialserviceawards.gov","https://www.presidentialserviceawards.gov","executive","Corporation for National & Community Service","No","No"
"presidio.gov","http://www.presidio.gov","executive","Executive Office of the President","No","No"
"pretrialservices.gov","http://pretrialservices.gov","executive","Court Services and Offender Supervision","No","No"
"privacyshield.gov","https://www.privacyshield.gov","executive","Department of Commerce","No","Yes"
"protecciondelconsumidor.gov","https://www.protecciondelconsumidor.gov","executive","Federal Trade Commission","No","Yes"
"psa.gov","http://psa.gov","executive","Court Services and Offender Supervision","No","No"
"psc.gov","http://www.psc.gov","executive","Department of Health And Human Services","No","No"
"pscr.gov","http://pscr.gov","executive","Department of Commerce","No","Yes"
"psob.gov","https://www.psob.gov","executive","Department of Justice","No","Yes"
"qart.gov","https://www.qart.gov","executive","Director of National Intelligence","No","No"
"qatesttwai.gov","https://qatesttwai.gov","executive","Department of the Treasury","No","No"
"rcfl.gov","https://www.rcfl.gov","executive","Department of Justice","No","No"
"ready.gov","https://www.ready.gov","executive","Department of Homeland Security","No","No"
"reaganlibrary.gov","https://reaganlibrary.gov","executive","National Archives and Records Administration","No","No"
"realestatesales.gov","http://realestatesales.gov","executive","General Services Administration","No","Yes"
"realpropertyprofile.gov","https://www.realpropertyprofile.gov","executive","General Services Administration","No","Yes"
"recalls.gov","http://www.recalls.gov","executive","Consumer Product Safety Commission","No","Yes"
"recoverymonth.gov","https://recoverymonth.gov","executive","Department of Health And Human Services","No","No"
"recreation.gov","http://www.recreation.gov","executive","Department of Agriculture","No","No"
"reginfo.gov","http://reginfo.gov","executive","General Services Administration","No","Yes"
"regulations.gov","https://www.regulations.gov","executive","Environmental Protection Agency","No","Yes"
"relocatefeds.gov","https://relocatefeds.gov","executive","Environmental Protection Agency","No","Yes"
"reo.gov","http://reo.gov","executive","Department of Agriculture","No","No"
"research.gov","http://www.research.gov","executive","National Science Foundation","No","No"
"restorethegulf.gov","https://restorethegulf.gov","executive","Gulf Coast Ecosystem Restoration Council (GCERC)","No","No"
"rivers.gov","https://rivers.gov","executive","Department of the Interior","No","Yes"
"robodeidentidad.gov","https://robodeidentidad.gov","executive","Federal Trade Commission","No","Yes"
"rocis.gov","http://rocis.gov","executive","General Services Administration","No","Yes"
"rrb.gov","https://www.rrb.gov","executive","Railroad Retirement Board","No","Yes"
"sac.gov","https://sac.gov","executive","National Science Foundation","No","No"
"safecom.gov","https://www.safecom.gov","executive","Department of the Interior","No","No"
"safeocs.gov","https://www.safeocs.gov","executive","Department of Transportation","No","No"
"safercar.gov","http://www.safercar.gov","executive","Department of Transportation","No","Yes"
"saferproduct.gov","http://www.saferproduct.gov","executive","Consumer Product Safety Commission","No","No"
"saferproducts.gov","http://www.saferproducts.gov","executive","Consumer Product Safety Commission","No","No"
"safertruck.gov","http://www.safertruck.gov","executive","Department of Transportation","No","Yes"
"safetyact.gov","http://safetyact.gov","executive","Department of Homeland Security","No","No"
"salmonrecovery.gov","https://www.salmonrecovery.gov","executive","Department of Energy","No","No"
"sam.gov","https://www.sam.gov","executive","General Services Administration","No","Yes"
"samhsa.gov","http://www.samhsa.gov","executive","Department of Health And Human Services","No","No"
"sandia.gov","http://www.sandia.gov","executive","Department of Energy","No","No"
"savingsbond.gov","http://savingsbond.gov","executive","Department of the Treasury","No","Yes"
"savingsbonds.gov","http://savingsbonds.gov","executive","Department of the Treasury","No","Yes"
"savingsbondwizard.gov","http://savingsbondwizard.gov","executive","Department of the Treasury","No","Yes"
"sba.gov","https://www.sba.gov","executive","Small Business Administration","No","Yes"
"sbir.gov","https://www.sbir.gov","executive","Small Business Administration","No","No"
"sbst.gov","https://sbst.gov","executive","General Services Administration","No","Yes"
"scidac.gov","http://www.scidac.gov","executive","Department of Energy","No","No"
"science.gov","http://science.gov","executive","Department of Energy","No","No"
"science360.gov","https://www.science360.gov","executive","National Science Foundation","No","No"
"sciencebase.gov","https://www.sciencebase.gov","executive","Department of the Interior","No","Yes"
"sdr.gov","http://www.sdr.gov","executive","Department of Commerce","No","Yes"
"sec.gov","https://www.sec.gov","executive","Securities and Exchange Commission","No","No"
"secretservice.gov","http://www.secretservice.gov","executive","Department of Homeland Security","No","No"
"section508.gov","https://section508.gov","executive","General Services Administration","No","Yes"
"segurosocial.gov","https://www.segurosocial.gov","executive","Social Security Administration","No","No"
"selectagents.gov","http://www.selectagents.gov","executive","Department of Health And Human Services","No","No"
"selectusa.gov","https://www.selectusa.gov","executive","Department of Commerce","No","Yes"
"serve.gov","http://www.serve.gov","executive","Corporation for National & Community Service","No","No"
"sftool.gov","http://sftool.gov","executive","General Services Administration","No","Yes"
"sierrawild.gov","http://sierrawild.gov","executive","Department of the Interior","No","No"
"sigtarp.gov","https://www.sigtarp.gov","executive","Department of the Treasury","No","Yes"
"siteidiq.gov","https://www.siteidiq.gov","executive","Department of Defense","No","No"
"sji.gov","http://www.sji.gov","executive","Department of State","No","No"
"slgs.gov","http://slgs.gov","executive","Department of the Treasury","No","Yes"
"smartcheck.gov","http://smartcheck.gov","executive","Commodity Futures Trading Commission","No","No"
"smartgrid.gov","https://www.smartgrid.gov","executive","Department of Energy","No","No"
"smokefree.gov","https://smokefree.gov","executive","Department of Health And Human Services","No","Yes"
"snap.gov","http://snap.gov","executive","Department of the Interior","No","No"
"sns.gov","http://sns.gov","executive","Department of Energy","No","No"
"solardecathlon.gov","http://www.solardecathlon.gov","executive","Department of Energy","No","No"
"srs.gov","http://www.srs.gov","executive","Department of Energy","No","No"
"ssa.gov","https://www.ssa.gov","executive","Social Security Administration","No","Yes"
"ssab.gov","http://ssab.gov","executive","Social Security Advisory Board","No","No"
"sss.gov","https://www.sss.gov","executive","Selective Service System","No","No"
"state.gov","http://www.state.gov","executive","Department of State","No","Yes"
"stateoig.gov","http://www.stateoig.gov","executive","Department of State OIG","No","No"
"stb.gov","http://www.stb.gov","executive","Surface Transportation Board (STB)","No","No"
"stopalcoholabuse.gov","https://stopalcoholabuse.gov","executive","Department of Health And Human Services","No","No"
"stopbullying.gov","https://www.stopbullying.gov","executive","Department of Health And Human Services","No","Yes"
"stopfakes.gov","https://www.stopfakes.gov","executive","Department of Commerce","No","Yes"
"stopfraud.gov","https://www.stopfraud.gov","executive","Department of Justice","No","Yes"
"stopmedicarefraud.gov","https://www.stopmedicarefraud.gov","executive","Department of Health And Human Services","No","Yes"
"strategicsourcing.gov","https://strategicsourcing.gov","executive","General Services Administration","No","Yes"
"studentloans.gov","https://www.studentloans.gov","executive","Department of Education","No","Yes"
"supportthevoter.gov","https://www.supportthevoter.gov","executive","General Services Administration","No","Yes"
"surgeongeneral.gov","http://www.surgeongeneral.gov","executive","Department of Health And Human Services","No","Yes"
"sustainability.gov","https://sustainability.gov","executive","Environmental Protection Agency","No","Yes"
"sustainablecommunities.gov","https://www.sustainablecommunities.gov","executive","Department of Transportation","No","Yes"
"swpa.gov","http://swpa.gov","executive","Department of Energy","No","No"
"symbols.gov","https://symbols.gov","executive","Department of Agriculture","No","No"
"taaps.gov","http://taaps.gov","executive","Department of the Treasury","No","Yes"
"tax.gov","http://www.tax.gov","executive","Department of the Treasury","No","No"
"telework.gov","https://telework.gov","executive","Office of Personnel Management","No","Yes"
"thecoolspot.gov","http://thecoolspot.gov","executive","Department of Health And Human Services","No","No"
"time.gov","http://time.gov","executive","Department of Commerce","No","No"
"trade.gov","http://trade.gov","executive","Department of Commerce","No","Yes"
"trafficsafetymarketing.gov","https://www.trafficsafetymarketing.gov","executive","Department of Transportation","No","No"
"transportation.gov","https://www.transportation.gov","executive","Department of Transportation","No","Yes"
"treaslockbox.gov","https://www.treaslockbox.gov","executive","Department of the Treasury","No","No"
"treasury.gov","https://www.treasury.gov","executive","Department of the Treasury","No","Yes"
"treasuryauctions.gov","http://treasuryauctions.gov","executive","Department of the Treasury","No","Yes"
"treasurydirect.gov","http://treasurydirect.gov","executive","Department of the Treasury","No","Yes"
"treasuryhunt.gov","http://treasuryhunt.gov","executive","Department of the Treasury","No","Yes"
"treasuryscams.gov","http://treasuryscams.gov","executive","Department of the Treasury","No","Yes"
"truman.gov","http://truman.gov","executive","Harry S. Truman Scholarship Foundation","No","No"
"tsa.gov","https://www.tsa.gov","executive","Department of Homeland Security","No","Yes"
"tsp.gov","https://www.tsp.gov","executive","Federal Retirement Thrift Investment Board","No","No"
"tsunami.gov","http://tsunami.gov","executive","Department of Commerce","No","Yes"
"tswg.gov","http://tswg.gov","executive","Department of Defense","No","No"
"ttb.gov","https://ttb.gov","executive","Department of the Treasury","No","Yes"
"ttbonline.gov","https://ttbonline.gov","executive","Department of the Treasury","No","No"
"tva.gov","https://www.tva.gov","executive","Tennessee Valley Authority","No","No"
"tvaoig.gov","http://tvaoig.gov","executive","Tennessee Valley Authority","No","No"
"udall.gov","http://udall.gov","executive","Morris K. Udall Foundation","No","No"
"unicor.gov","https://www.unicor.gov","executive","Department of Justice","No","Yes"
"unlocktalent.gov","https://unlocktalent.gov","executive","Office of Personnel Management","No","Yes"
"us-cert.gov","https://www.us-cert.gov","executive","Department of Homeland Security","No","Yes"
"usa.gov","https://www.usa.gov","executive","General Services Administration","No","Yes"
"usability.gov","https://www.usability.gov","executive","Department of Health And Human Services","No","Yes"
"usadf.gov","http://www.usadf.gov","executive","African Development Foundation","No","No"
"usaid.gov","https://www.usaid.gov","executive","U.S. Agency for International Development","No","Yes"
"usajobs.gov","https://www.usajobs.gov","executive","Office of Personnel Management","No","Yes"
"usalearning.gov","https://usalearning.gov","executive","Office of Personnel Management","No","Yes"
"usandc.gov","http://www.usandc.gov","executive","Department of Defense","No","Yes"
"usap.gov","https://usap.gov","executive","National Science Foundation","No","No"
"usaseanconnect.gov","https://www.usaseanconnect.gov","executive","Department of State","No","No"
"usaspending.gov","https://www.usaspending.gov","executive","Department of the Treasury","No","Yes"
"usastaffing.gov","https://www.usastaffing.gov","executive","Office of Personnel Management","No","No"
"usbg.gov","https://www.usbg.gov","executive","Architect of the Capitol","No","No"
"usbr.gov","http://www.usbr.gov","executive","Department of the Interior","No","Yes"
"uscapital.gov","http://www.uscapital.gov","executive","Architect of the Capitol","No","No"
"uscapitol.gov","http://www.uscapitol.gov","executive","Architect of the Capitol","No","No"
"usccr.gov","http://usccr.gov","executive","U.S. Commission on Civil Rights","No","No"
"uscirf.gov","http://www.uscirf.gov","executive","General Services Administration","No","Yes"
"uscis.gov","https://www.uscis.gov","executive","Department of Homeland Security","No","Yes"
"uscurrency.gov","https://uscurrency.gov","executive","Federal Reserve System","No","No"
"usda.gov","http://www.usda.gov","executive","Department of Agriculture","No","Yes"
"usdebitcard.gov","http://usdebitcard.gov","executive","Department of the Treasury","No","No"
"usds.gov","https://www.usds.gov","executive","Executive Office of the President","No","No"
"usembassy-mexico.gov","http://www.usembassy-mexico.gov","executive","Department of State","No","No"
"usembassy.gov","https://www.usembassy.gov","executive","Department of State","No","Yes"
"usgs.gov","https://www.usgs.gov","executive","Department of the Interior","No","Yes"
"usich.gov","https://www.usich.gov","executive","US Interagency Council on Homelessness","No","No"
"usitc.gov","https://usitc.gov","executive","U. S. International Trade Commission","No","Yes"
"usmarshals.gov","https://www.usmarshals.gov","executive","Department of Justice","No","Yes"
"usmint.gov","https://www.usmint.gov","executive","Department of the Treasury","No","Yes"
"usphs.gov","http://usphs.gov","executive","Department of Health And Human Services","No","No"
"uspis.gov","http://www.uspis.gov","executive","U. S. Postal Service","No","No"
"uspsoig.gov","https://uspsoig.gov","executive","U.S. Postal Service, Office of Inspector General","No","No"
"uspto.gov","https://www.uspto.gov","executive","Department of Commerce","No","Yes"
"ussm.gov","https://www.ussm.gov","executive","General Services Administration","No","Yes"
"ustda.gov","https://www.ustda.gov","executive","U.S. Trade and Development Agency","No","Yes"
"ustr.gov","http://ustr.gov","executive","Executive Office of the President","No","No"
"utahfireinfo.gov","http://www.utahfireinfo.gov","executive","Department of the Interior","No","No"
"va.gov","http://va.gov","executive","Department of Veterans Affairs","No","Yes"
